run_id,run_order,phase_label,phase_offset_fraction_of_pi,width_regime,width_ratio_a_to_b,topology_class,dominant_reverse_topology,topology_survival_time,refinement_stability_flag,weak_coupling_stability_flag,bidirectional_stability_flag,flow_concentration_index,grade_exchange_coherence,separation_oscillation_indicator,derived_phase_label,low_beta_base_topology,low_beta_refined_topology,high_beta_base_topology,high_beta_refined_topology,notes
S23_12_p0375_w100,0,protected_braid_anchor,0.375,symmetric_clustered,1.0,braid_like_exchange,transfer_smeared,0.5011462451690515,0,1,0,0.899742111292383,0.43285027318281144,0.0,transient_mixed_phase,braid_like_exchange,transfer_smeared,braid_like_exchange,transfer_smeared,Symmetric clustered control at the lower braid anchor.
S23_12_p0475_w100,1,lower_corridor,0.475,symmetric_clustered,1.0,braid_like_exchange,transfer_smeared,0.5011462451690515,0,1,0,0.8972463217591575,0.4355272492479225,0.0,transient_mixed_phase,braid_like_exchange,transfer_smeared,braid_like_exchange,transfer_smeared,Symmetric clustered control at the lower corridor edge.
S23_12_p0500_w100,2,midpoint_band,0.5,symmetric_clustered,1.0,transfer_smeared,transfer_smeared,0.4176218709742096,0,0,0,0.8964726479426706,0.436412200082362,0.0,transient_mixed_phase,transfer_smeared,transfer_smeared,transfer_smeared,braid_like_exchange,Symmetric clustered control at the midpoint band.
S23_12_p0550_w100,3,upper_corridor,0.55,symmetric_clustered,1.0,transfer_smeared,transfer_smeared,0.4176218709742096,0,0,0,0.8947061405747039,0.4385199237796139,0.0,transient_mixed_phase,transfer_smeared,transfer_smeared,transfer_smeared,braid_like_exchange,Symmetric clustered control at the upper corridor.
S23_12_p0575_w100,4,smeared_region,0.575,symmetric_clustered,1.0,transfer_smeared,transfer_smeared,0.4176218709742096,0,0,0,0.8937009972859774,0.43977100456811113,0.0,transient_mixed_phase,transfer_smeared,transfer_smeared,transfer_smeared,braid_like_exchange,Symmetric clustered control inside the smeared region.
S23_12_p0375_w115,5,protected_braid_anchor,0.375,moderate_asymmetry,1.15,braid_like_exchange,transfer_smeared,0.5011462451690515,0,1,0,0.895668368251948,0.43364682985238956,0.0,transient_mixed_phase,braid_like_exchange,transfer_smeared,braid_like_exchange,transfer_smeared,Moderate width asymmetry at the lower braid anchor.
S23_12_p0475_w115,6,lower_corridor,0.475,moderate_asymmetry,1.15,braid_like_exchange,transfer_smeared,0.5005099191093109,0,0,0,0.8915292792137247,0.4365479100176151,0.0,transient_mixed_phase,braid_like_exchange,transfer_smeared,braid_like_exchange,braid_like_exchange,Moderate width asymmetry at the lower corridor edge.
S23_12_p0500_w115,7,midpoint_band,0.5,moderate_asymmetry,1.15,braid_like_exchange,transfer_smeared,0.5005099191093109,0,0,0,0.890336060377785,0.4374866231588513,0.0,transient_mixed_phase,braid_like_exchange,transfer_smeared,braid_like_exchange,braid_like_exchange,Moderate width asymmetry at the midpoint band.
S23_12_p0550_w115,8,upper_corridor,0.55,moderate_asymmetry,1.15,braid_like_exchange,transfer_smeared,0.5005099191093109,0,0,0,0.8876934722602273,0.4396939921260733,0.0,transient_mixed_phase,braid_like_exchange,transfer_smeared,braid_like_exchange,braid_like_exchange,Moderate width asymmetry at the upper corridor.
S23_12_p0575_w115,9,smeared_region,0.575,moderate_asymmetry,1.15,transfer_smeared,transfer_smeared,0.12528656129226287,0,1,0,0.8862331505466493,0.44098867552263316,0.0,transient_mixed_phase,transfer_smeared,braid_like_exchange,transfer_smeared,braid_like_exchange,Moderate width asymmetry inside the smeared region.
S23_12_p0375_w135,10,protected_braid_anchor,0.375,strong_asymmetry,1.35,transfer_smeared,transfer_smeared,0.06264328064613144,1,1,1,0.8823822772217041,0.4347853473251017,0.0,smeared_transfer_phase,transfer_smeared,transfer_smeared,transfer_smeared,transfer_smeared,Strong width asymmetry at the lower braid anchor.
S23_12_p0475_w135,11,lower_corridor,0.475,strong_asymmetry,1.35,transfer_smeared,transfer_smeared,0.1562502682067245,1,1,1,0.8765145122829976,0.43809133475458706,0.0,smeared_transfer_phase,transfer_smeared,transfer_smeared,transfer_smeared,transfer_smeared,Strong width asymmetry at the lower corridor edge.
S23_12_p0500_w135,12,midpoint_band,0.5,strong_asymmetry,1.35,transfer_smeared,transfer_smeared,0.1562502682067245,1,1,1,0.8748178075985467,0.43913948243721673,0.0,smeared_transfer_phase,transfer_smeared,transfer_smeared,transfer_smeared,transfer_smeared,Strong width asymmetry at the midpoint band.
S23_12_p0550_w135,13,upper_corridor,0.55,strong_asymmetry,1.35,transfer_smeared,transfer_smeared,0.21889354885285595,1,1,1,0.87111801773139,0.4415714713264718,0.0,smeared_transfer_phase,transfer_smeared,transfer_smeared,transfer_smeared,transfer_smeared,Strong width asymmetry at the upper corridor.
S23_12_p0575_w135,14,smeared_region,0.575,strong_asymmetry,1.35,transfer_smeared,transfer_smeared,0.2500958780397203,1,1,1,0.8690974367787283,0.44297908714464196,0.0,smeared_transfer_phase,transfer_smeared,transfer_smeared,transfer_smeared,transfer_smeared,Strong width asymmetry inside the smeared region.
