hierarchy_label,level_id,n_side,h,dimension,nullspace_dimension,spectral_radius,first_positive_eigenvalue,b0,b1,b2,b1_over_b0,b2_over_b0,I0,I1,I2,descriptor_distance_from_previous
frozen_branch,R1,12,0.083333333333,576,4,7.862309796963,0.263337445092,3.992541196696,-15.196408636509,27.978374055231,-3.806199582633,7.007660704512,4.278286099098,-16.284010764769,29.980777379304,
frozen_branch,R2,24,0.041666666667,2304,4,7.965353020924,0.067853205626,3.992270826129,-15.38315827383,28.598645942437,-3.853235149567,7.163503476583,4.361284281729,-16.805053891612,31.242075114536,1.380711351232
frozen_branch,R3,36,0.027777777778,5184,4,7.984582776023,0.030325938407,3.992219728715,-15.417962259342,28.714851153144,-3.862002421471,7.192703083602,4.410697810555,-17.034125624739,31.724839742812,0.537844315440
frozen_branch,R4,48,0.020833333333,9216,4,7.991324152244,0.017091721482,3.992201767437,-15.43015999025,28.755622542545,-3.865075186357,7.202948201941,4.446116798825,-17.184575714784,32.025149001718,0.337987034953
frozen_branch,R5,60,0.016666666667,14400,4,7.99444637301,0.010948603426,3.99219344075,-15.435808667994,28.774511377314,-3.866498178779,7.207694668199,4.473791933764,-17.297908364136,32.245726267625,0.249597345438
generic_open_grid_scalar_block_control,R1,12,0.083333333333,576,4,7.728358942068,0.066975427448,3.993725215954,-13.970297727742,24.654488747408,-3.498061827572,6.173306227709,4.279554858237,-14.9701474886,26.419002658176,
generic_open_grid_scalar_block_control,R2,24,0.041666666667,2304,4,7.931280671274,0.017036174825,3.992893725235,-14.763741570525,26.889331868908,-3.697504262941,6.734296908272,4.361964756627,-16.128383282424,29.374765774543,3.237360375740
generic_open_grid_scalar_block_control,R3,36,0.027777777778,5184,4,7.969390901986,0.007595937019,3.992639884389,-15.004301932554,27.568131669606,-3.757990293896,6.904737834583,4.411162008378,-16.577104012289,30.457917213729,1.187917826362
generic_open_grid_scalar_block_control,R4,48,0.020833333333,9216,4,7.982769133027,0.004277509609,3.992518423036,-15.119744788301,27.893375445877,-3.787019416382,6.986411204752,4.4464694583,-16.838866172933,31.064864045054,0.667714540229
generic_open_grid_scalar_block_control,R5,60,0.016666666667,14400,4,7.988968317555,0.002739027728,3.992447427048,-15.187420142879,28.083778920543,-3.804037603598,7.034226357066,4.474076559714,-17.01955547453,31.471667259874,0.448903072749
